"DATES"	"MOMENT"	"TQR"	"RPE"	"DURATION"	"SLEEP"	"PERSON_ID"	"ID"	"TQR_OF_RPE"
30-APR-12	"A"			0	0	1	1973	
30-APR-12	"O"	15	13	75	9	1	1974	
01-MAY-12	"A"	14	9	45	2	1	1975	
01-MAY-12	"O"	16	9	45	9	1	1976	
02-MAY-12	"A"	14	9	45	2	1	1977	
02-MAY-12	"O"	12	16	120	9	1	1978	
03-MAY-12	"A"			0	0	1	1979	
03-MAY-12	"O"	15	10	61	8	1	1980	
04-MAY-12	"A"			0	0	1	1981	
04-MAY-12	"O"	13	13	100	9	1	1982	
05-MAY-12	"A"			0	0	1	1983	
05-MAY-12	"O"			0	1	1	1984	
06-MAY-12	"A"			0	0	1	1985	
06-MAY-12	"O"	16	7	60	10	1	1986	
07-MAY-12	"A"			0	0	1	1987	
07-MAY-12	"O"	13	12	60	9	1	1988	
08-MAY-12	"A"	12	15	120	1	1	1989	
08-MAY-12	"O"			0	9	1	1990	
09-MAY-12	"A"			0	0	1	1991	
09-MAY-12	"O"	14	10	90	8	1	1992	
10-MAY-12	"A"	13	13	90	1	1	1993	
10-MAY-12	"O"	12	8	35	9	1	1994	
11-MAY-12	"A"			0	0	1	1995	
11-MAY-12	"O"	13	10	60	9	1	1996	
12-MAY-12	"A"			0	0	1	1997	
12-MAY-12	"O"	13	13	120	8	1	1998	
13-MAY-12	"A"			0	0	1	1999	
13-MAY-12	"O"	13	13	90	8	1	2000	
14-MAY-12	"A"	13	11	90	1	1	2001	
14-MAY-12	"O"	15	8	45	9	1	2002	
15-MAY-12	"A"			0	0	1	2003	
15-MAY-12	"O"	8	8	30	9	1	2004	
16-MAY-12	"A"			0	0	1	2005	
16-MAY-12	"O"			0	9	1	2006	
17-MAY-12	"A"	11	17	120	1	1	2007	
17-MAY-12	"O"	17	8	25	9	1	2008	
18-MAY-12	"A"	14	10	120	0	1	2009	
18-MAY-12	"O"			0	9	1	2010	
19-MAY-12	"A"			0	0	1	2011	
19-MAY-12	"O"	12	12	60	9	1	2012	
20-MAY-12	"A"			0	0	1	2013	
20-MAY-12	"O"	14	11	100	9	1	2014	
21-MAY-12	"A"			0	0	1	2015	
21-MAY-12	"O"	14	11	90	8	1	2016	
22-MAY-12	"A"	15	14	120	1	1	2017	
22-MAY-12	"O"			0	8	1	2018	
23-MAY-12	"A"			0	0	1	2019	
23-MAY-12	"O"	15	8	45	9	1	2020	
24-MAY-12	"A"			0	0	1	2021	
24-MAY-12	"O"	16	7	25	9	1	2022	
25-MAY-12	"A"	11	18	90	1	1	2023	
25-MAY-12	"O"	16	7	15	8	1	2024	
26-MAY-12	"A"			0	0	1	2025	
26-MAY-12	"O"	10	10	45	9	1	2026	
27-MAY-12	"A"			0	0	1	2027	
27-MAY-12	"O"	10	11	55	8	1	2028	
28-MAY-12	"A"	12	12	60	0	1	2029	
28-MAY-12	"O"	12	11	45	8	1	2030	
29-MAY-12	"A"	13	16	120	0	1	2031	
29-MAY-12	"O"			0	9	1	2032	
30-MAY-12	"A"	15	10	60	0	1	2033	
30-MAY-12	"O"	13	8	45	9	1	2034	
31-MAY-12	"A"	15	13	120	0	1	2035	
31-MAY-12	"O"			0	9	1	2036	
01-JUN-12	"A"	13	11	60	0	1	2037	
01-JUN-12	"O"	15	11	45	9	1	2038	
02-JUN-12	"A"	12	18	120	0	1	2039	
02-JUN-12	"O"	14	6	25	9	1	2040	
03-JUN-12	"A"			0	0	1	2041	
03-JUN-12	"O"	10	11	90	6	1	2042	
04-JUN-12	"A"	14	12	60	1	1	2043	
04-JUN-12	"O"	12	11	45	9	1	2044	
05-JUN-12	"A"	12	15	120	1	1	2045	
05-JUN-12	"O"			0	9	1	2046	
06-JUN-12	"A"	14	11	60	1	1	2047	
06-JUN-12	"O"	14	13	45	9	1	2048	
07-JUN-12	"A"	15	10	75	0	1	2049	
07-JUN-12	"O"	13	10	45	9	1	2050	
08-JUN-12	"A"			0	0	1	2051	
08-JUN-12	"O"	15	12	60	8	1	2052	
09-JUN-12	"A"			0	0	1	2053	
09-JUN-12	"O"	13	16	120	9	1	2054	
10-JUN-12	"A"			0	0	1	2055	
10-JUN-12	"O"			0	9	1	2056	
11-JUN-12	"A"			0	0	1	2057	
11-JUN-12	"O"	13	12	60	9	1	2058	
12-JUN-12	"A"	14	13	120	1	1	2059	
12-JUN-12	"O"			0	9	1	2060	
13-JUN-12	"A"			0	0	1	2061	
13-JUN-12	"O"	16	8	60	9	1	2062	
14-JUN-12	"A"	14	9	100	0	1	2063	
14-JUN-12	"O"			0	9	1	2064	
15-JUN-12	"A"			0	0	1	2065	
15-JUN-12	"O"			0	9	1	2066	
16-JUN-12	"A"	16	12	25	1	1	2067	
16-JUN-12	"O"			0	9	1	2068	
17-JUN-12	"A"			0	0	1	2069	
17-JUN-12	"O"	7	16	120	9	1	2070	
18-JUN-12	"A"	11	11	60	9	1	2071	
18-JUN-12	"O"			0	9	1	2072	
19-JUN-12	"A"	10	10	75	1	1	2073	
19-JUN-12	"O"			0	8	1	2074	
20-JUN-12	"A"	11	12	90	1	1	2075	
20-JUN-12	"O"	11	11	45	9	1	2076	
21-JUN-12	"A"	13	15	125	1	1	2077	
21-JUN-12	"O"			0	8	1	2078	
22-JUN-12	"A"	13	11	90	1	1	2079	
22-JUN-12	"O"	12	13	45	9	1	2080	
23-JUN-12	"A"			0	0	1	2081	
23-JUN-12	"O"	12	14	120	9	1	2082	
24-JUN-12	"A"			0	0	1	2083	
24-JUN-12	"O"	13	15	90	9	1	2084	
25-JUN-12	"A"	12	12	65	1	1	2085	
25-JUN-12	"O"	13	10	45	8	1	2086	
26-JUN-12	"A"	13	16	120	0	1	2087	
26-JUN-12	"O"			0	9	1	2088	
27-JUN-12	"A"	9	12	70	1	1	2089	
27-JUN-12	"O"	11	10	45	8	1	2090	
28-JUN-12	"A"	12	15	120	1	1	2091	
28-JUN-12	"O"			0	8	1	2092	
29-JUN-12	"A"			0	0	1	2093	
29-JUN-12	"O"			0	7	1	2094	
30-JUN-12	"A"	7	18	100	0	1	2095	
30-JUN-12	"O"	13	8	20	8	1	2096	
01-JUL-12	"A"			0	0	1	2097	
01-JUL-12	"O"	11	14	75	9	1	2098	
02-JUL-12	"A"			0	0	1	2099	
02-JUL-12	"O"	14	13	75	9	1	2100	
03-JUL-12	"A"	10	13	90	1	1	2101	
03-JUL-12	"O"	10	8	45	8	1	2102	
04-JUL-12	"A"			0	0	1	2103	
04-JUL-12	"O"	11	12	90	8	1	2104	
05-JUL-12	"A"			0	0	1	2105	
05-JUL-12	"O"	13	16	100	9	1	2106	
06-JUL-12	"A"	14	13	90	1	1	2107	
06-JUL-12	"O"	10	11	45	9	1	2108	
07-JUL-12	"A"			0	0	1	2109	
07-JUL-12	"O"	11	11	70	8	1	2110	
08-JUL-12	"A"			0	0	1	2111	
08-JUL-12	"O"	14	15	100	9	1	2112	
09-JUL-12	"A"	11	9	60	8	1	2113	
09-JUL-12	"O"	11	9	45	8	1	2114	
10-JUL-12	"A"	12	12	120	1	1	2115	
10-JUL-12	"O"			0	9	1	2116	
11-JUL-12	"A"			0	0	1	2117	
11-JUL-12	"O"	13	12	90	9	1	2118	
12-JUL-12	"A"			0	0	1	2119	
12-JUL-12	"O"			0	9	1	2120	
13-JUL-12	"A"			0	0	1	2121	
13-JUL-12	"O"	12	12	200	9	1	2122	
14-JUL-12	"A"			0	0	1	2123	
14-JUL-12	"O"	10	10	200	9	1	2124	
15-JUL-12	"A"			0	0	1	2125	
15-JUL-12	"O"	12	11	60	9	1	2126	
16-JUL-12	"A"			0	0	1	2127	
16-JUL-12	"O"	15	10	35	8	1	2128	
17-JUL-12	"A"	13	17	150	0	1	2129	
17-JUL-12	"O"			0	9	1	2130	
18-JUL-12	"A"			0	0	1	2131	
18-JUL-12	"O"	14	8	20	9	1	2132	
19-JUL-12	"A"			0	0	1	2133	
19-JUL-12	"O"	15	8	25	9	1	2134	
20-JUL-12	"A"			0	0	1	2135	
20-JUL-12	"O"			0	9	1	2136	
21-JUL-12	"A"	13	10	20	1	1	2137	
21-JUL-12	"O"	13	13	150	9	1	2138	
22-JUL-12	"A"			0	0	1	2139	
22-JUL-12	"O"	14	14	120	9	1	2140	
23-JUL-12	"A"			0	0	1	2141	
23-JUL-12	"O"	12	17	80	9	1	2142	
24-JUL-12	"A"	12	17	150	1	1	2143	
24-JUL-12	"O"			0	9	1	2144	
25-JUL-12	"A"			0	0	1	2145	
25-JUL-12	"O"	14	9	20	8	1	2146	
26-JUL-12	"A"			0	0	1	2147	
26-JUL-12	"O"	12	13	120	8	1	2148	
27-JUL-12	"A"			0	0	1	2149	
27-JUL-12	"O"	12	9	25	9	1	2150	
28-JUL-12	"A"			0	0	1	2151	
28-JUL-12	"O"	13	10	25	8	1	2152	
29-JUL-12	"A"			0	0	1	2153	
29-JUL-12	"O"	12	11	120	9	1	2154	
30-JUL-12	"A"			0	0	1	2155	
30-JUL-12	"O"	14	11	45	8	1	2156	
31-JUL-12	"A"			0	0	1	2157	
31-JUL-12	"O"	15	13	180	9	1	2158	
01-AUG-12	"A"			0	0	1	2159	
01-AUG-12	"O"	13	11	120	9	1	2160	
02-AUG-12	"A"			0	0	1	2161	
02-AUG-12	"O"	12	10	45	9	1	2162	
03-AUG-12	"A"	15	12	180	1	1	2163	
03-AUG-12	"O"			0	9	1	2164	
04-AUG-12	"A"	14	8	25	1	1	2165	
04-AUG-12	"O"	13	12	60	9	1	2166	
